Tipo aloxamento,Ano,Establecementos,
,2012,3,
,2013,3,
,2017,4,
,2018,4,
,2019,4,
,2020,5,
,2021,5,
,2022,5,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,13,
,2010,13,
,2011,17,
,2012,23,
,2013,19,
,2017,25,
,2018,29,
,2019,37,
,2020,44,
,2021,47,
,2022,50,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,4,
,2013,7,
,2017,16,
,2018,16,
,2019,17,
,2020,19,
,2021,20,
,2022,20,
Turismo rural,,,
,2003,3,
,2004,3,
,2005,3,
,2006,3,
,2007,3,
,2008,3,
,2009,4,
,2010,4,
,2011,4,
,2012,4,
,2013,4,
,2017,4,
,2018,4,
,2019,4,
,2020,4,
,2021,4,
,2022,4,
Campamentos de turismo,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,1,
,2020,1,
,2021,1,
,2022,1,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,1,
,2007,1,
,2008,1,
,2009,1,
,2010,1,
,2011,1,
,2012,1,
,2013,1,
,2017,1,
,2018,1,
,2019,1,
,2020,2,
,2021,2,
,2022,2,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,0,
,2018,2,
,2019,2,
,2020,2,
,2021,2,
,2022,2,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,13,
,2019,24,
,2020,31,
,2021,30,
,2022,32,
15085,Touro,,
Hoteis,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Turismo rural,,,
,2003,0,
,2004,3,
,2005,3,
,2006,3,
,2007,3,
,2008,3,
,2009,3,
,2010,3,
,2011,3,
,2012,3,
,2013,3,
,2017,3,
,2018,3,
,2019,3,
,2020,3,
,2021,3,
,2022,3,
